動画ID,いい,うい,うまい,ええ,おおい,かっこいい,かっこよい,かわいい,かわゆい,くい,こい,こわい,すい,すごい,っぽい,ない,ほしい,ぽい,やばい,よい,イイ,凄い,可愛い,怖い,懐かしい,早い,欲しい,良い,重い,高い
sm16769854,0.5074762984649729,0.0,0.0,0.3794832779580221,0.0,0.6606113905369198,0.0,0.14087226554227664,0.0,0.0,0.23208394733862447,0.0,0.0,0.29722867480798404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm16770185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm16772333,0.3713633622663522,0.0,0.0,0.0,0.0,0.0,0.0,0.7731612048695874,0.436336994440503,0.0,0.0,0.0,0.0,0.27188422487056263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm16772487,0.4208209747754417,0.05924147655031361,0.0,0.14750798777233792,0.5428492292973666,0.21398715608308125,0.0,0.6205918340558084,0.06180596216144154,0.0,0.120283687686738,0.0,0.0,0.11553500845961975,0.0,0.047911355071639086,0.059913484338964165,0.0,0.04724063114134073,0.0,0.0,0.06525043163008144,0.14132628679665454,0.0,0.0,0.0,0.0,0.0897079448199683,0.0,0.0
sm16799739,0.8913368759543021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30166220166728375,0.0,0.3384058061695634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm16800139,0.907572985004963,0.0,0.0,0.0,0.0,0.0,0.0,0.41989436396453494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm16825773,0.12848349760514133,0.0,0.0,0.0,0.0,0.9408062017335532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09406591953995176,0.0,0.0,0.0,0.1600776556143661,0.0,0.25278929680060824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm16827089,0.07617885839021676,0.0,0.0,0.1424135618769926,0.9433819025877104,0.12395805903374053,0.0,0.0,0.0,0.2113075331501132,0.0,0.0,0.0,0.0,0.15469088800722655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm16833058,0.14409570812570172,0.0,0.0,0.07346771011495366,0.027037105187617483,0.0,0.0,0.9636381163015836,0.12313211182734618,0.03633614754561863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023528630867746973,0.0,0.0,0.0,0.164240666528446,0.0,0.0,0.0,0.0,0.022339933533679548,0.0,0.0
sm16844849,0.6144358945733648,0.2913610195561459,0.0,0.12091212725913612,0.0667459329693697,0.0,0.0,0.5386218456903311,0.0,0.0,0.07394729993481969,0.0,0.08827490202481507,0.04735195651680708,0.0,0.0,0.22099956270505935,0.2417450515033078,0.23233854480529467,0.0,0.0,0.08022855520014245,0.057922497053487614,0.0,0.0,0.0,0.08357446854592339,0.0,0.18667393805571267,0.0
sm16846374,0.11606125602831402,0.1407636219580386,0.0,0.05007051486721171,0.09213311365937227,0.0,0.0,0.6195746756982364,0.1468570940337229,0.0,0.0,0.0,0.02437014877072604,0.0,0.0,0.04878948427102,0.04067439402631631,0.0,0.032070978116109046,0.15808758119285718,0.12202318207894895,0.0,0.7035919935500966,0.027464532764898266,0.0,0.0,0.0,0.09135213053847027,0.0,0.02449934221726269
sm16859428,0.5685768584920631,0.0674037497847132,0.026408788281866404,0.055943864996955785,0.06176428366249152,0.04869404871607652,0.0,0.7199418298155399,0.046881046313277094,0.0,0.02280938980629486,0.0,0.0,0.10224152398589499,0.1012778797290182,0.1817085583247061,0.045445564406035435,0.024855796485434452,0.05374943142105063,0.039251445124288256,0.045445564406035435,0.0,0.26799696845148635,0.030686165646163235,0.0,0.0,0.0,0.06804525273449363,0.028790223737323758,0.0
sm16913043,0.3791174597096522,0.0,0.0,0.0,0.0,0.9253485568926447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm16969007,0.6448537332669989,0.0,0.1896936791951666,0.2678956077399711,0.0,0.29147346574157246,0.0,0.3977941941919183,0.0,0.0,0.0,0.0,0.09779192154746148,0.10491405168614473,0.0,0.13052081224616857,0.08160859392024054,0.0,0.2573872326662414,0.07048554216008888,0.0,0.0888780887436499,0.19250156582769415,0.0,0.0,0.11425013494653938,0.0,0.24438369161818338,0.0,0.0
sm17015301,0.17722124329497657,0.0,0.15639709257097487,0.22087237877841423,0.0,0.0,0.0,0.6559402050420561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10761073137445364,0.0,0.0,0.10610425983797064,0.0,0.0,0.0,0.6348484638718234,0.0,0.0,0.0,0.0,0.10074373327305751,0.17050033643827142,0.0
sm16980824,0.19763281285864795,0.040468289282433345,0.0,0.10076379368381917,0.0741648619419346,0.9062924620386921,0.0,0.024937109178662962,0.0,0.0,0.08216667363330618,0.0,0.04904340706880703,0.05261521056812715,0.03648351210022675,0.0,0.0,0.0,0.06454084665796149,0.0353490460349026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061280158316510215,0.31113461663078285,0.04930340083612987
sm16973327,0.3834241806278915,0.07196920929020202,0.0,0.2090658916551326,0.23081717784500563,0.5979108022316304,0.22656471846340875,0.13304521105745376,0.03754233085667027,0.35451838594362634,0.07306301595953653,0.0,0.08721928428963015,0.18714283051590863,0.09732396270785562,0.2619219073514762,0.036392797283116736,0.0,0.11478008542629374,0.03143254801975556,0.036392797283116736,0.11890373713777286,0.17168952742150553,0.0,0.0,0.0,0.0,0.0817359335683373,0.0461104087891513,0.04384082989930619
sm17020500,0.2789187809381557,0.0,0.0,0.0,0.0,0.9077119674345507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20420327975925298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23783254266738693,0.0,0.0
sm17067188,0.8582129454145763,0.0,0.0,0.0,0.0,0.0,0.0,0.1488966114082053,0.0,0.29756756704747406,0.0,0.0,0.0,0.0,0.0,0.39083741181652293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm17092280,0.1715809924489169,0.0,0.0,0.0,0.0,0.0,0.0,0.9525963361593138,0.0,0.0,0.0,0.0,0.0,0.2512373048854336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm17134469,0.674718231570737,0.0,0.0,0.2522721622556485,0.5570372869502611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2423766267371406,0.0,0.0,0.3347791748235461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm17112691,0.4095863357595295,0.2516068776519954,0.049289785682516865,0.10441452619940984,0.0,0.6967723722760659,0.0,0.36176833783974904,0.0,0.05164202918467417,0.08514362136586467,0.0,0.0,0.19082521891316834,0.0,0.033914376535987355,0.0848203297283655,0.04639125690505688,0.2340772004779819,0.10988928934882436,0.0848203297283655,0.0,0.06669251158642168,0.0,0.0,0.0,0.0,0.03175018755308499,0.05373453498200817,0.0
sm17142789,0.4804791013620984,0.0,0.06057443315888867,0.0,0.33056363695697655,0.0,0.0,0.0,0.0,0.06346521093002022,0.15695523514403334,0.0,0.062455325242138336,0.30151760008180833,0.37168537022696335,0.16671560698899338,0.0,0.0,0.0821908552105822,0.36012769896051433,0.0,0.11352491804121587,0.040980712629909564,0.0,0.13981285101656968,0.36483224913323825,0.0,0.2341153957663124,0.06603678536070708,0.06278641959853766
sm17147346,0.7833216066046963,0.0,0.0,0.0,0.0,0.5098476296745309,0.0,0.21744520818884316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28138983026614584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
