動画ID,aa,ccc,gj,gumi,intro,joy,ktkr,meiko,mirai,wktk,wr,www,yyy,いい,いいね,うい,うぽつ,ええ,おおい,お前,かっこ,かっこいい,かわいい,かわゆい,きた,きれい,ここ,こと,これ,さん,すき,すぎ,すこっぷ,すごい,そう,それ,たま,ちゃん,ちょ,っぽい,ない,なに,なん,ほしい,みたい,もきゅもきゅ,やばい,よい,よさげ,りんり,アブ,カラオケ,コピー,コメ,サビ,タグ,ダイヤ,ネギ,ハート,マイリス,ミク,ミリオン,リリン,リン,ルカ,レン,一番,中毒,久々,久しぶり,乖離,今日,共感,再生,初見,動画,可愛い,大好き,好き,好きだ,小説,弾幕,忍者,愛愛愛,感じ,支援,最高,期待,歌詞,殿堂入り,画質,神曲,素敵,綺麗,職人,脚気,良い,調教,配信,鳥肌
sm12476122,0,17,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm12507705,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
sm12527072,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0,0,12,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
sm12549171,0,0,0,47,1,2,1,0,0,1,0,2,0,78,34,35,0,15,3,2,9,97,8,0,3,3,9,6,24,14,4,1,0,4,1,0,0,3,0,6,6,2,1,3,7,0,10,3,2,0,0,3,0,8,18,0,0,0,0,13,2,0,0,7,0,0,4,6,0,1,0,0,0,1,5,0,1,9,22,13,0,0,0,0,1,0,7,1,5,3,2,0,3,1,0,96,7,26,1,4
sm12556756,0,0,1,0,9,0,0,0,0,7,0,0,0,8,1,1,1,0,2,0,0,0,8,0,3,0,0,0,3,8,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,1,1,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
sm12581573,0,0,0,0,0,0,0,0,0,7,0,1,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm12588223,0,0,2,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
sm12595936,0,0,1,0,3,11,16,0,0,109,0,3,0,19,8,2,11,2,1,0,3,22,0,0,48,0,3,1,34,36,15,1,0,3,11,1,0,0,2,2,10,1,5,1,2,0,8,1,4,0,0,9,0,4,0,3,0,0,0,3,1,0,0,0,0,0,12,41,7,10,0,1,0,2,25,4,0,25,35,21,2,0,0,1,1,9,3,6,0,11,1,1,3,0,0,14,6,0,2,0
sm12616812,0,0,0,3,0,0,1,0,0,0,0,0,0,11,4,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
sm12647084,0,0,0,0,1,0,1,0,0,0,0,1,0,22,4,0,0,0,1,1,0,8,2,0,0,0,1,1,2,0,2,0,0,2,0,0,0,0,0,0,3,0,2,0,1,0,5,0,0,0,0,1,0,1,6,0,0,0,0,4,0,0,0,0,3,0,1,2,0,0,0,0,0,0,2,0,0,0,11,6,0,0,0,0,0,0,0,0,3,0,0,0,1,2,0,5,2,0,0,1
sm12645546,0,0,0,0,0,2,1,0,0,0,0,0,0,24,9,0,0,0,0,0,0,1,2,0,0,2,5,0,6,3,0,0,0,2,0,0,0,0,0,1,0,0,1,2,1,0,2,0,1,0,0,0,0,3,5,0,0,0,0,1,0,0,0,0,8,2,0,0,0,0,0,0,0,1,2,2,1,0,7,1,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,3,2,0,0
sm12648576,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,2,2,0,0,1,0,0,3,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
