動画ID,gumi,wktk,wr,www,yyy,いい,いいね,ええ,かっこいい,かわいい,きた,これ,さん,すごい,ない,ダイヤ,ハート,ミク,ミリオン,リン,レン,中毒,初見,可愛い,大好き,好き,最高,神曲,脚気,良い
sm15676851,0.28979506818853906,0.0,0.0,0.0900912602674618,0.0,0.15643758747276904,0.02244763660690697,0.040074586560668896,0.049331013994024446,0.8600834169293892,0.012740992850754685,0.05115624431307287,0.025048243228176767,0.031496558458958185,0.09533308832137337,0.0,0.15062112345102235,0.0,0.011503807201864646,0.0,0.0,0.0,0.0,0.28672988214840905,0.07216185666807007,0.10930569957274947,0.05290138766870317,0.0,0.01731012082252463,0.01921641537051831
sm15686024,0.0,0.0,0.0,0.0,0.0,0.4022835012619006,0.8312357760713148,0.0,0.0,0.1442431203767422,0.0,0.24286093001004183,0.0,0.13884729388262046,0.17304820487162748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13491963482904895,0.0,0.0,0.0,0.0
sm15686051,0.0,0.0,0.0,0.2374230125600718,0.0,0.0,0.35494578445743985,0.0,0.0,0.5543389744486559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6742341260101862,0.0,0.0,0.23613650275483733,0.0,0.0,0.0,0.0,0.0,0.0
sm15696369,0.0,0.0,0.0,0.0,0.0,0.7338058546272941,0.0,0.4296660663215384,0.0,0.5262281246441338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm15714327,0.0,0.9206718360956846,0.0,0.035657980549876664,0.0,0.038698595976547796,0.0,0.0,0.2277932829069975,0.0,0.037821488503120705,0.02336257136936021,0.2379373361244434,0.0,0.03329354817578851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040403703898224015,0.0,0.0329556352150446,0.05191563085410801,0.0,0.0,0.17128297178137264,0.05704370464066309
sm15719556,0.0,0.0,0.0,0.0,0.0,0.3334092865435585,0.4475045220147593,0.04505110814368917,0.08626646382892873,0.6866319231765333,0.0,0.14450955009300764,0.1051260792012164,0.01180261593084184,0.10296888111796125,0.0,0.0,0.01584078559977056,0.0,0.0,0.17895858050987903,0.042547740926649716,0.01785126725049036,0.23503697589612066,0.058242170382729865,0.2637812052249758,0.0,0.0,0.030270671346662188,0.0378047920704347
sm15719565,0.0,0.0,0.0,0.0,0.0,0.28008855104760044,0.2572200653612284,0.0,0.1570188393212549,0.1339050576957964,0.0,0.4509096414457906,0.14350977951846253,0.0,0.0,0.0,0.0,0.6919866632053767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2504995931714829,0.16838321002746265,0.0,0.0,0.1376216042297176
sm15741427,0.0,0.0,0.0,0.0,0.0,0.16918129902361678,0.0,0.0,0.2845312788565484,0.0,0.0,0.0,0.5201034636521105,0.0,0.29110336369302775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3532712719091723,0.0,0.0,0.2269631144460987,0.0,0.0,0.5990475868253071,0.0
sm15751190,0.016838493239145883,0.0,0.0,0.6253766260488695,0.0,0.4241897082265769,0.041738115652876974,0.010644695079874209,0.03057461539511248,0.017382609017732576,0.1539851511285039,0.19755193122482578,0.19560897489924972,0.02509854421231338,0.3962237942045452,0.0,0.0,0.15720043875261036,0.021389656463526675,0.0,0.0,0.0,0.0,0.05553463708218281,0.175458932493847,0.2682742283044895,0.0874332771420034,0.04842335478262307,0.010728550737994717,0.16078558359891354
sm15789837,0.0,0.0,0.0,0.0,0.0,0.6998080538370967,0.5784035277683683,0.0,0.0,0.0,0.0,0.16899130513706787,0.0,0.19322980775050036,0.0,0.0,0.0,0.2593418250662533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20631055427660877
