動画ID,いい,うい,うまい,ええ,おおい,かっこいい,かっこよい,かわいい,かわゆい,くい,こい,こわい,すい,すごい,っぽい,ない,ほしい,ぽい,やばい,よい,イイ,凄い,可愛い,多い,怖い,早い,欲しい,良い,重い,高い
sm4028567,0.9428852415676555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0929813809861975,0.0,0.11588458526061612,0.0,0.0,0.0,0.0,0.0,0.29814869934778937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm3995757,0.2862498117194637,0.0,0.0,0.3016946426090491,0.03503328757926119,0.4263993360296339,0.06920101037259813,0.011730054883512734,0.0,0.0,0.05785901420264385,0.6996958141201768,0.021400633007004784,0.14678636218083788,0.12642884358192183,0.02814505031970789,0.034920805838265005,0.020032249054276474,0.05947742801311286,0.04497076407198204,0.0,0.0543088418124851,0.0,0.04261515841443529,0.3005558092088162,0.0,0.02051726365693379,0.048222494312022766,0.02392771051959555,0.04206999976331572
sm4180612,0.6091698218444038,0.0,0.0,0.0,0.0,0.0,0.0,0.21842445853869472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5582647816536336,0.3348423756482817,0.0,0.0,0.39676680947575654,0.0,0.0,0.0,0.0,0.0,0.0
sm4189459,0.2783554777723659,0.05756986999511052,0.0,0.044450661173210324,0.0,0.0,0.0,0.8710462343420196,0.24889907919468895,0.07285591454641455,0.0,0.0,0.06621502406426631,0.0698718548755001,0.0,0.08708271309542333,0.0,0.12396230081195526,0.0,0.046380874563228564,0.0,0.11202351713425432,0.18552349825291425,0.06592710923529094,0.0,0.0,0.0,0.07460184986734722,0.0,0.0
sm4218005,0.3962782354256523,0.0,0.08186425611973269,0.030265198214716987,0.0,0.0,0.0,0.5930707494725009,0.04236708616062051,0.0,0.0,0.0,0.0,0.19029508057904307,0.033292882472758085,0.05929215681715744,0.03678319762132521,0.0,0.06264947031139792,0.09473827778791558,0.07576426346262369,0.07627364500983616,0.5368502407981882,0.04488790438806591,0.0,0.0,0.04322297527938863,0.1777800149288228,0.3024458400225304,0.0
sm4271005,0.12587567028703806,0.0,0.0,0.22111231638491852,0.26959729431227725,0.0,0.0,0.36107271423782694,0.6190532434642325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23071383731890502,0.0,0.0,0.23071383731890502,0.0,0.0,0.0,0.0,0.3710943188559492,0.0,0.3237480376983578
sm4247321,0.5883811834082147,0.0,0.0,0.0574192358415706,0.21002996410319122,0.0,0.0,0.04688232585534959,0.0,0.0,0.0,0.0,0.0,0.09025711671983618,0.18949010579611014,0.0,0.06978520623727298,0.0,0.05942939288946056,0.1797377792451845,0.0,0.0,0.0,0.08516148317306932,0.0,0.0,0.16400554813711796,0.1927341955638804,0.6694348090307944,0.0
sm4291081,0.2684843539559946,0.6108114136761763,0.0,0.0,0.0,0.0,0.0,0.3850719292783897,0.0,0.0,0.0,0.0,0.0,0.3706672123482786,0.518797644149931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm4387562,0.0,0.0,0.0,0.37796643475488206,0.0,0.0,0.0,0.9258192988908167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm4451787,0.7232412780755455,0.0,0.0,0.0,0.0,0.6081782293915152,0.0,0.0,0.0,0.0,0.1421263388306971,0.0,0.0,0.08320839571263808,0.11646112262190306,0.10370431504767251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17768242322227645,0.0,0.15501270951558496
sm4459566,0.0,0.0,0.0,0.34695717959718586,0.0,0.0,0.0,0.28328763546434876,0.0,0.0,0.0,0.0,0.5168377115196555,0.272690451176438,0.0,0.0,0.0,0.0,0.0,0.36202335355603504,0.0,0.0,0.0,0.0,0.0,0.5716875198806971,0.0,0.0,0.0,0.0
sm4554935,0.09682704774388068,0.012957938986252941,0.02706261158802656,0.36018150458702325,0.03659677002077127,0.0,0.0,0.6290155371942875,0.18207374825048295,0.0,0.0,0.0,0.029807614360459908,0.01572689381459341,0.0,0.00980037372972792,0.04863902452057349,0.0,0.20710605111383734,0.020878996001568544,0.05009216308868823,0.0,0.615930382046272,0.014839002747157283,0.0,0.0,0.028577223982934732,0.0,0.0,0.0
sm4611149,0.34845543142868607,0.0,0.0,0.0,0.0,0.29301840717948985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7216119011712934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45391463862690073,0.0,0.0,0.0,0.2568205410203876,0.0,0.0
sm4611428,0.3421914818923776,0.0,0.0,0.0,0.0,0.0,0.0,0.49078589561508007,0.0,0.4926028565892794,0.0,0.0,0.0,0.23621332270103784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31359638326137546,0.0,0.0,0.4952142916451464,0.0,0.0,0.0,0.0
sm4669648,0.20008933411540805,0.0,0.0,0.3514755158744095,0.21427311161581172,0.6730256174881941,0.5643362582304878,0.0,0.0,0.0,0.0,0.0,0.0,0.13812081524373995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm4740727,0.5602407409143298,0.0,0.0,0.0,0.0,0.0,0.0,0.8035216197350359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13771191454649345,0.0,0.0,0.0,0.0,0.0,0.0,0.14669269726229156,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm4775983,0.2896975726483535,0.0,0.0,0.0,0.0,0.0,0.8170692600362713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4984708022597031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm4917069,0.8644822934055754,0.0,0.05867863434218396,0.0,0.0,0.04153992600348878,0.0,0.0,0.0,0.0,0.0,0.0,0.06463049946163023,0.27279928945015036,0.0,0.04249941249261268,0.0,0.0,0.08981173309038143,0.09054196176321809,0.0,0.16401419389672706,0.0,0.12869894886099578,0.0,0.0,0.0,0.32767482888080607,0.0,0.0
sm4966548,0.33190205628600894,0.0,0.3942501680703034,0.0,0.0,0.2790985678535114,0.0,0.47602835421264794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6083335790400594,0.0,0.0,0.0,0.0,0.24462028131306882,0.0,0.0
sm5114973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8637843839295083,0.0,0.0,0.0,0.24771439515998228,0.0,0.0,0.1454693491537756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4139478046406587,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm5085658,0.6437436940497562,0.0,0.07646715492314136,0.0,0.0,0.0,0.0,0.4616425921585854,0.0,0.0,0.0,0.0,0.08422333734409373,0.13331205917085726,0.0,0.3322990586587822,0.0,0.0,0.05851915083852658,0.0589949501620887,0.0,0.0,0.1179899003241774,0.08385711913138683,0.0,0.0,0.08074678995663516,0.33211886574570315,0.2825063587096817,0.08278436859722585
sm5137683,0.24347359032239066,0.0,0.0,0.0,0.0,0.0,0.0,0.8730010126506844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22312781406048293,0.0,0.0,0.0,0.0,0.35889249270358753,0.0,0.0
sm5168173,0.25673171499118297,0.08343910625845792,0.08713114509646623,0.0,0.0,0.0,0.0,0.8416360769903442,0.1803714053750845,0.0,0.0,0.0,0.0,0.05063451701321852,0.0,0.06310682785857387,0.0,0.0,0.0,0.0,0.0806386980812929,0.0,0.4033337634464124,0.0,0.0,0.0,0.0,0.05406223497367445,0.0,0.0
sm5281569,0.6427407079262674,0.0,0.0,0.0,0.0,0.3088484477976579,0.25897138661810565,0.0,0.0,0.0,0.0,0.0,0.0,0.5070641983083143,0.0,0.1579911045045365,0.0,0.0,0.0,0.16829437989836715,0.2018830197617102,0.0,0.0,0.0,0.0,0.0,0.0,0.2706950263643827,0.0,0.0
sm5296638,0.21975455724158252,0.0,0.0,0.38601930839395937,0.15688823188263049,0.3695860332516634,0.20660015872590565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28309072740685776,0.0,0.0,0.17941930957221405,0.0,0.13426056852741755,0.1610566498156845,0.16213947279478522,0.0,0.0,0.0,0.6360508847172867,0.0,0.10797647597969173,0.0,0.0
sm5332327,0.16239887538636866,0.0,0.0,0.0,0.0,0.5462490235649319,0.0,0.0,0.0,0.0,0.7659239024731529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29765615254500843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm5332638,0.5427733633121324,0.08820204456862094,0.09210483534313355,0.0,0.0,0.26081234422777017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16057463196489305,0.0749151242214132,0.1334182853331318,0.0,0.0,0.0,0.07105953106555472,0.08524178123493256,0.0,0.0,0.20201212292281845,0.0,0.11221333286849533,0.0,0.05714825904123266,0.6805589060688049,0.19942786275484262
sm5486732,0.21799194057459145,0.0,0.5178838611077755,0.3829231083638158,0.0,0.7332432838626068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm5513850,0.6509359613802651,0.0,0.0,0.0,0.5576632038852435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2515632946804064,0.0,0.0,0.0,0.0,0.23861629996718464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3808835719401729,0.0
sm5563391,0.5454954945481222,0.0,0.0,0.14741746861074317,0.0,0.4939960953995784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17379379239286677,0.16216488727644937,0.14440182424125425,0.0,0.2055560941788137,0.1525783220976759,0.07690944228501512,0.09225923329147644,0.18575902905530722,0.0,0.0,0.0,0.0,0.0,0.4948234996221435,0.0,0.0
sm5601322,0.26984418885078826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8879158986541631,0.0,0.3725445888221035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm5608513,0.14382390000696366,0.0,0.0,0.25264005037300163,0.0,0.2418848799204761,0.0,0.6188354647410971,0.0,0.0,0.0,0.0,0.0,0.19856205137889185,0.2779137755949,0.0,0.30704933217363944,0.3522764464565524,0.0,0.2636106230307318,0.0,0.0,0.2636106230307318,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm5717613,0.11772506407228533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9684288228054314,0.0,0.0,0.0,0.0,0.12566549197227977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18026261003388247,0.0,0.0,0.0,0.0,0.0
sm5657281,0.13213957088399936,0.0,0.0,0.0,0.0,0.6667020759652296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3648615322179834,0.0,0.22736717227780479,0.28210448327210436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4046686935193536,0.0,0.3314936138016913,0.0,0.0,0.0
sm5870324,0.2914959857655327,0.0,0.0629552326183012,0.09309814486360343,0.8513436193111081,0.13370227854552966,0.07474014027665468,0.0,0.0,0.0,0.0,0.0,0.0,0.109755511426595,0.0,0.22798420835862157,0.22629605373154238,0.12981426973208174,0.0,0.0,0.0,0.11731188413211574,0.048570406660120094,0.0,0.0,0.0,0.06647864628951516,0.03906181394568828,0.0,0.0
sm5948584,0.8017459077475712,0.0,0.0,0.0,0.0,0.44946218399228655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39393812276918194,0.0,0.0
sm6030356,0.47036720262660603,0.0,0.0,0.23606963348857263,0.0,0.33902982641676416,0.0,0.09637444072140999,0.0,0.38692493183458976,0.0,0.0,0.0,0.3710771164314442,0.1298428397422544,0.0,0.28691026304864986,0.0,0.12216702984843823,0.36948098532288015,0.0,0.14873429288787737,0.0,0.0,0.0,0.0,0.0,0.0,0.1965907015755794,0.0
