動画ID,ccc,gumi,wktk,wr,www,yyy,いい,いいね,ええ,かっこいい,かわいい,きた,ここ,これ,さん,すごい,ない,やばい,ダイヤ,ハート,ミク,リン,レン,中毒,乖離,可愛い,大好き,好き,愛愛愛,最高
sm16137694,0,0,0,0,1,0,2,0,3,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
sm16187258,0,0,0,0,0,0,3,1,0,0,0,0,0,5,0,1,0,3,0,0,0,0,0,1,0,0,0,1,0,1
sm16201802,0,0,0,0,0,0,6,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0
sm16229812,0,0,0,0,0,0,3,5,1,0,3,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,2,0,0
sm16231559,0,10,7,0,2,0,20,8,0,22,0,0,0,3,2,0,1,2,0,1,0,0,0,0,0,0,2,4,0,1
sm16238717,0,0,0,0,8,0,11,3,2,4,1,6,18,10,3,10,4,6,0,0,0,5,0,8,0,1,8,19,0,4
sm16253955,0,0,0,0,0,0,2,1,1,5,1,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,1
sm16258483,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm1632617,0,0,4,0,0,0,3,0,0,0,0,7,0,5,0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0
sm16352396,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0
sm16353783,0,0,0,0,5,0,79,35,12,5,67,2,7,17,12,37,10,15,0,0,5,0,0,8,0,11,6,18,0,16
sm16386722,0,3,0,0,0,0,7,2,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
sm16366329,0,50,0,0,15,0,19,1,9,5,58,1,10,1,34,4,7,7,0,163,0,0,5,0,0,31,66,102,0,9
sm16387915,0,0,0,0,0,0,13,5,0,1,0,0,2,3,1,1,0,5,0,0,0,0,0,0,0,0,0,4,0,0
sm16405963,0,13,28,0,193,0,16,5,1,0,42,28,14,54,1,5,6,12,0,0,0,0,0,112,0,13,3,14,0,4
sm16409992,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm16448432,0,0,0,0,0,0,3,2,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
sm16475295,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sm16493013,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sm16496406,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
sm16527005,0,0,0,0,0,0,1,3,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm16559290,0,0,0,0,0,0,2,0,0,0,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sm16588541,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm16583264,0,0,0,0,0,0,12,5,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0
sm16659931,0,1,0,10,4,84,34,13,1,18,1,0,4,5,24,7,2,1,0,0,0,1,21,0,0,0,1,7,0,2
sm16670262,0,0,0,0,0,0,5,2,0,0,0,0,0,4,0,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0
sm16681219,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm16707821,0,0,5,0,0,0,11,2,2,0,21,1,1,0,0,1,0,2,0,0,2,0,0,0,0,3,0,0,0,0
sm16693218,0,20,116,0,13,0,41,7,2,28,36,27,7,31,6,13,5,8,0,0,0,0,0,30,0,7,22,34,0,18
sm16719809,0,0,0,0,60,10,18,7,6,0,155,25,1,18,27,4,5,6,0,0,40,0,0,0,0,88,24,16,0,12
sm16729081,0,0,8,0,1,0,6,1,3,0,29,3,1,5,5,0,2,0,0,0,0,0,0,0,0,3,1,1,0,0
sm16734827,0,4,52,0,0,0,1,0,0,1,0,3,0,2,1,1,3,0,0,0,0,0,0,0,0,0,1,1,0,0
sm16735237,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm16765671,0,0,0,1,0,2,9,4,0,28,0,0,0,5,6,1,1,7,0,0,0,0,17,0,0,0,2,2,0,1
sm16768902,0,0,0,0,12,0,2,2,2,0,5,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0
sm16769854,0,4,0,0,0,0,5,0,2,4,1,1,1,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1
sm16770185,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
sm16772333,0,0,10,0,0,0,2,0,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
sm16772487,0,0,2,0,0,0,16,4,3,5,17,0,5,4,0,3,1,1,0,0,0,5,2,0,0,3,0,6,0,2
sm16799739,0,0,0,0,0,0,6,3,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
sm16800139,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm16825773,0,0,34,0,0,0,2,1,0,9,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
sm16827089,0,0,1,0,0,0,1,2,1,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
